idx,kappa,abs_kappa,angle_sim_vs_ea,angle_euc_vs_ea,sim_second_norm,ea_second_norm
0,-2.9357189841028855,2.9357189841028855,1.9074597317987392,86.9852057879911,17.192817209007682,26.97572715655985
1,-4.109886166426038,4.109886166426038,0.3168501905122518,89.5770847753507,262.75937218379573,248.1099466613279
2,-6.412913201776044,6.412913201776044,3.232753413607322,85.49321366427014,7.764747877099638,24.308027814534658
3,3.450032911050601e-11,3.450032911050601e-11,0.0,166.03839145228028,3.2184835572130654e+21,81692817109.9005
4,-9.116292326347521,9.116292326347521,3.839267334106166,84.39539857981688,3.3214024800312965,20.917074017955862
5,0.8912177002649678,0.8912177002649678,0.21363349186737232,89.68106944202869,539.5346555958496,165.68461729739332
6,7.456803527766673,7.456803527766673,17.07383121671845,67.97782821802356,1.6597439370498055,5.281979234755812
7,-1.7993630820460502,1.7993630820460502,0.12124417334437536,89.73982241510186,239.1709335219416,273.9557711426211
8,-0.6002270429876819,0.6002270429876819,0.10945330622576811,89.8704004396073,2812.287623099188,337.0474262616667
9,9.197812378367837,9.197812378367837,0.2883173396930567,89.56609392900359,106.68562560547501,346.2519554205948
10,3.596136000727613e-10,3.596136000727613e-10,0.0,138.358580305152,3.192484276374654e+22,220262268428.81543
11,-0.19648583601665467,0.19648583601665467,0.024112005247072493,89.94639198968147,9991.844178896155,624.9874105418361
12,5.380467122200153e-11,5.380467122200153e-11,0.0,164.74284462546544,1.871875243122164e+20,2131697632.7300694
13,-6.097037424845826,6.097037424845826,5.0103086912122174,82.34364245091326,3.6567011346457523,13.847407476649442
14,9.415606645831784e-11,9.415606645831784e-11,0.0,26.15035539191413,1.5225005367250815e+19,14613463785.623554
15,-16773.15542760022,16773.15542760022,5.602891583535051,2.41557617341215,1.2430308754523108e-05,27.352997331977896
16,-30.404701989664343,30.404701989664343,14.811191558758924,68.2147748153517,0.2537515921642052,8.240915064833283
17,-2.465080465111306,2.465080465111306,0.5939299207435691,89.0677027148281,81.91101783200104,88.18804607428879
18,6.8425456053566736,6.8425456053566736,18.300291647145624,65.47142175438492,1.3259230120617327,4.555666362244365
19,1161.8168733027544,1161.8168733027544,1.2074182697257333e-06,8.537736462515939e-07,0.0004854817392439683,10.512658575002943
20,0.8760413833131352,0.8760413833131352,0.16054876538542498,89.77354144692059,759.9883834367664,222.31087602640685
21,0.5332432282598736,0.5332432282598736,0.10193500418548322,89.89019575721335,522.4594673631096,447.94332130112787
22,6.127070543506425,6.127070543506425,3.9206924972224986,84.25485273743395,4.788448155077344,17.880390844649813
23,-69.10900535082077,69.10900535082077,32.52646057852961,37.87826917410341,0.039395729683846865,5.077430985518101
24,0.14648258280782037,0.14648258280782037,0.0038954460932993516,89.9761024199981,20929.72069584462,1337.372772140457
25,-51.115147757328714,51.115147757328714,3.65601025325871,86.97795658548918,0.16780481936130268,70.01319033032884
26,3.338313952403598e-11,3.338313952403598e-11,180.0,4.556554771171509,2.476090243267509e+21,48707282270.36971
27,-24.29258270832838,24.29258270832838,2.6934505206832737,81.58107170239207,0.41180278953840205,19.755218204433223
28,20.17051276897911,20.17051276897911,17.2289057493368,63.34583360563769,0.3005963406927579,6.053985862859265
29,-0.823232744453472,0.823232744453472,0.1748508199840368,89.8114135921499,9444.867214824164,294.6923139054912
30,304.7266268503416,304.7266268503416,14.512402814901792,16.429804303339427,0.0035770386533641044,7.431174896560997
31,-5.634665240108998,5.634665240108998,17.033230799133687,62.350325531952976,0.9614587699865583,3.8318934330929397
32,15.328290917019945,15.328290917019945,4.202302366462398,81.99038803828834,0.9881788867925668,17.876303665121767
33,8.7085691651502,8.7085691651502,4.042113540347592,84.45154579849843,3.935213256336481,20.6635141375859
34,19.880444155031594,19.880444155031594,5.8065371875785585,81.64200693747713,1.0678823776496011,18.315057900500104
35,-14.370949569541756,14.370949569541756,16.706038889066104,65.62661889676895,0.5534653981488613,5.994665793778577
36,1.2658911916043007,1.2658911916043007,0.06410062893622509,89.93486580904717,2604.3221995626373,760.684404367209
37,-0.29767090365650706,0.29767090365650706,5.441159056964643,82.64197525488909,99.6237838060213,5.202612979498687
38,4.509456779293981,4.509456779293981,1.7165953122108888,87.34151408865158,14.64256945791597,36.64080551133835
39,28.28975896214748,28.28975896214748,20.109013256353883,57.65931939227898,0.1664450513354825,5.691587021065646
40,7.478189606151256,7.478189606151256,1.4458251276863245,86.76973373942967,4.3985629068575225,35.164221739984605
41,-1.050602470584648,1.050602470584648,0.3101886818713673,89.64043040293024,905.6157065414379,157.25003934049272
42,3.410992421758737,3.410992421758737,1.312570578186749,88.49550360902278,102.44888590064224,58.4191919903954
43,-3.5491826462335986e-12,3.5491826462335986e-12,180.0,167.59438564902175,2.4750909766833656e+19,1970732380.3276553
44,-3.305826672130979e-11,3.305826672130979e-11,180.0,9.514789516568344,1.1361914738677711e+21,159028312957.92538
45,-6.276313944945311,6.276313944945311,5.2886682654896005,81.91842438691688,3.1565071852269093,12.961408317520945
